Latitude,Longitude,Elevation
-34.2671600,18.42580000,69.0
-34.2672800,18.42586000,69.0
-34.2673300,18.42581000,69.0
-34.2675500,18.42559000,69.0
-34.2677100,18.42549000,70.0
-34.2679200,18.42525000,71.0
-34.2681200,18.42498000,72.0
-34.2682500,18.42483000,73.0
-34.2684000,18.42462000,74.0
-34.2685400,18.42452000,75.0
-34.2686600,18.42424000,76.0
-34.2688600,18.42410000,77.0
-34.2689600,18.42398000,78.0
-34.2693100,18.42340000,81.0
-34.2695500,18.42297000,84.0
-34.2696500,18.42265000,90.0
-34.2696300,18.42244000,92.0
-34.2695500,18.42228000,92.0
-34.2695500,18.42212000,93.0
-34.2696500,18.42208000,94.0
-34.2697600,18.42196000,95.0
-34.2698000,18.42181000,94.0
-34.2699300,18.42139000,94.0
-34.2699300,18.42102000,94.0
-34.2698800,18.42094000,94.0
-34.2699100,18.42077000,94.0
-34.2698700,18.42066000,94.0
-34.2697800,18.42055000,94.0
-34.2696100,18.42019000,94.0
-34.2695200,18.42010000,94.0
-34.2694200,18.42003000,94.0
-34.2693000,18.41968000,95.0
-34.2692100,18.41964000,95.0
-34.2691200,18.41947000,95.0
-34.2691400,18.41924000,96.0
-34.2691800,18.41909000,97.0
-34.2692500,18.41892000,98.0
-34.2692700,18.41872000,98.0
-34.2692600,18.41853000,98.0
-34.2693300,18.41832000,98.0
-34.2693300,18.41784000,98.0
-34.2693100,18.41765000,98.0
-34.2694200,18.41756000,98.0
-34.2694900,18.41739000,99.0
-34.2695700,18.41728000,99.0
-34.2696900,18.41720000,99.0
-34.2698000,18.41700000,97.0
-34.2701300,18.41666000,96.0
-34.2703100,18.41645000,96.0
-34.2704800,18.41621000,96.0
-34.2705000,18.41601000,97.0
-34.2704500,18.41577000,97.0
-34.2703200,18.41555000,97.0
-34.2701100,18.41541000,96.0
-34.2699300,18.41518000,96.0
-34.2699100,18.41508000,96.0
-34.2699200,18.41488000,96.0
-34.2700200,18.41481000,97.0
-34.2703800,18.41447000,98.0
-34.2705400,18.41406000,98.0
-34.2705600,18.41346000,97.0
-34.2708000,18.41296000,99.0
-34.2711100,18.41243000,102.0
-34.2715500,18.41145000,98.0
-34.2720400,18.41045000,90.0
-34.2724100,18.40963000,85.0
-34.2729500,18.40875000,83.0
-34.2736500,18.40778000,80.0
-34.2738800,18.40735000,80.0
-34.2741500,18.40686000,81.0
-34.2745900,18.40602000,81.0
-34.2747400,18.40551000,80.0
-34.2751100,18.40552000,79.0
-34.2754400,18.40558000,78.0
-34.2759100,18.40579000,77.0
-34.2761800,18.40586000,76.0
-34.2763100,18.40592000,76.0
-34.2764200,18.40599000,76.0
-34.2766900,18.40628000,76.0
-34.2771800,18.40700000,74.0
-34.2772600,18.40710000,74.0
-34.2776200,18.40743000,75.0
-34.2777200,18.40751000,75.0
-34.2779500,18.40767000,75.0
-34.2780500,18.40773000,75.0
-34.2781700,18.40776000,75.0
-34.2787300,18.40783000,72.0
-34.2790700,18.40792000,71.0
-34.2794400,18.40792000,70.0
-34.2798900,18.40797000,68.0
-34.2799800,18.40798000,68.0
-34.2801100,18.40804000,68.0
-34.2812300,18.40910000,72.0
-34.2814200,18.40923000,74.0
-34.2815300,18.40928000,75.0
-34.2816400,18.40929000,76.0
-34.2817800,18.40928000,76.0
-34.2819100,18.40929000,76.0
-34.2819800,18.40933000,76.0
-34.2823000,18.40960000,78.0
-34.2825500,18.40984000,79.0
-34.2825900,18.40987000,79.0
-34.2830400,18.41025000,80.0
-34.2831800,18.41036000,80.0
-34.2834100,18.41047000,81.0
-34.2836500,18.41052000,82.0
-34.2843200,18.41049000,80.0
-34.2849600,18.41043000,80.0
-34.2852900,18.41041000,79.0
-34.2855000,18.41038000,78.0
-34.2859600,18.41045000,77.0
-34.2868700,18.41067000,76.0
-34.2873700,18.41086000,77.0
-34.2876000,18.41090000,77.0
-34.2878400,18.41096000,76.0
-34.2880800,18.41106000,75.0
-34.2883000,18.41120000,75.0
-34.2886700,18.41135000,75.0
-34.2893900,18.41177000,75.0
-34.2895000,18.41180000,76.0
-34.2895900,18.41181000,76.0
-34.2897400,18.41179000,76.0
-34.2897400,18.41184000,77.0
-34.2898800,18.41184000,77.0
-34.2900500,18.41192000,78.0
-34.2902400,18.41190000,78.0
-34.2905500,18.41199000,77.0
-34.2907100,18.41207000,76.0
-34.2908900,18.41211000,75.0
-34.2911100,18.41210000,75.0
-34.2912500,18.41213000,75.0
-34.2915300,18.41209000,75.0
-34.2917500,18.41198000,74.0
-34.2921600,18.41188000,73.0
-34.2922900,18.41198000,72.0
-34.2925300,18.41206000,71.0
-34.2927100,18.41204000,71.0
-34.2929100,18.41206000,72.0
-34.2930600,18.41191000,71.0
-34.2931900,18.41168000,69.0
-34.2933400,18.41156000,67.0
-34.2935100,18.41151000,66.0
-34.2935700,18.41140000,65.0
-34.2936400,18.41110000,63.0
-34.2938300,18.41076000,62.0
-34.2940300,18.41074000,60.0
-34.2941900,18.41063000,59.0
-34.2943100,18.41053000,59.0
-34.2943500,18.41026000,58.0
-34.2944000,18.41017000,57.0
-34.2945700,18.40980000,53.0
-34.2947600,18.40992000,54.0
-34.2950400,18.40997000,56.0
-34.2951700,18.41008000,56.0
-34.2952600,18.41034000,57.0
-34.2954500,18.41043000,57.0
-34.2956800,18.41053000,57.0
-34.2959200,18.41051000,58.0
-34.2961100,18.41056000,58.0
-34.2962800,18.41066000,59.0
-34.2965000,18.41073000,61.0
-34.2966500,18.41110000,64.0
-34.2969100,18.41125000,65.0
-34.2973400,18.41146000,66.0
-34.2977700,18.41155000,66.0
-34.2979300,18.41142000,65.0
-34.2980100,18.41123000,65.0
-34.2981800,18.41113000,65.0
-34.2982700,18.41093000,64.0
-34.2985100,18.41074000,63.0
-34.2988500,18.41053000,59.0
-34.2991300,18.41050000,57.0
-34.2993700,18.41044000,58.0
-34.2995600,18.41046000,58.0
-34.2997700,18.41063000,57.0
-34.2999200,18.41073000,55.0
-34.3003000,18.41074000,53.0
-34.3005300,18.41090000,54.0
-34.3007500,18.41100000,55.0
-34.3009400,18.41117000,55.0
-34.3011200,18.41125000,54.0
-34.3013300,18.41130000,53.0
-34.3015100,18.41139000,51.0
-34.3017900,18.41191000,49.0
-34.3020300,18.41215000,48.0
-34.3023500,18.41233000,47.0
-34.3024600,18.41244000,47.0
-34.3027900,18.41272000,51.0
-34.3030600,18.41285000,51.0
-34.3033700,18.41292000,47.0
-34.3035000,18.41313000,48.0
-34.3038100,18.41321000,46.0
-34.3041100,18.41325000,46.0
-34.3043500,18.41320000,45.0
-34.3048300,18.41340000,44.0
-34.3052300,18.41374000,47.0
-34.3054900,18.41385000,47.0
-34.3057900,18.41404000,46.0
-34.3063800,18.41405000,42.0
-34.3065900,18.41392000,40.0
-34.3067800,18.41372000,38.0
-34.3070700,18.41359000,36.0
-34.3073700,18.41347000,37.0
-34.3074600,18.41318000,37.0
-34.3074900,18.41295000,37.0
-34.3075900,18.41266000,37.0
-34.3077300,18.41241000,37.0
-34.3077300,18.41230000,36.0
-34.3078800,18.41220000,37.0
-34.3079500,18.41205000,37.0
-34.3079400,18.41173000,36.0
-34.3079500,18.41146000,36.0
-34.3080100,18.41122000,36.0
-34.3080900,18.41110000,36.0
-34.3082600,18.41103000,34.0
-34.3084300,18.41079000,31.0
-34.3086200,18.41054000,28.0
-34.3087800,18.41033000,27.0
-34.3089400,18.41007000,25.0
-34.3089200,18.40933000,24.0
-34.3088900,18.40897000,24.0
-34.3088000,18.40874000,24.0
-34.3087200,18.40841000,23.0
-34.3086800,18.40819000,22.0
-34.3086700,18.40787000,20.0
-34.3086600,18.40763000,18.0
-34.3087300,18.40734000,16.0
-34.3087000,18.40733000,15.0
-34.3087400,18.40731000,15.0
-34.3087800,18.40727000,15.0
-34.3088200,18.40724000,15.0
-34.3088800,18.40720000,14.0
-34.3089200,18.40717000,14.0
-34.3089600,18.40715000,14.0
-34.3090100,18.40713000,13.0
-34.3090800,18.40711000,13.0
-34.3091300,18.40710000,13.0
-34.3092000,18.40709000,13.0
-34.3092600,18.40709000,13.0
-34.3093300,18.40709000,13.0
-34.3093800,18.40709000,14.0
-34.3094400,18.40709000,14.0
-34.3094900,18.40709000,14.0
-34.3095500,18.40709000,15.0
-34.3096100,18.40709000,15.0
-34.3096600,18.40709000,15.0
-34.3097200,18.40709000,16.0
-34.3097800,18.40710000,16.0
-34.3098300,18.40710000,16.0
-34.3098800,18.40710000,16.0
-34.3099400,18.40711000,16.0
-34.3100200,18.40713000,16.0
-34.3100800,18.40713000,16.0
-34.3101400,18.40714000,16.0
-34.3101800,18.40714000,16.0
-34.3102400,18.40714000,15.0
-34.3103000,18.40714000,15.0
-34.3103500,18.40714000,14.0
-34.3104200,18.40716000,13.0
-34.3105000,18.40718000,12.0
-34.3105800,18.40720000,11.0
-34.3106400,18.40723000,11.0
-34.3106800,18.40726000,12.0
-34.3107300,18.40729000,12.0
-34.3107800,18.40732000,12.0
-34.3108300,18.40734000,12.0
-34.3108900,18.40737000,11.0
-34.3109400,18.40739000,11.0
-34.3109900,18.40742000,11.0
-34.3110300,18.40745000,10.0
-34.3110700,18.40748000,10.0
-34.3111100,18.40750000,9.0
-34.3111200,18.40761000,11.0
-34.3111800,18.40768000,12.0
-34.3112000,18.40775000,13.0
-34.3112600,18.40781000,13.0
-34.3113200,18.40785000,13.0
-34.3113700,18.40791000,14.0
-34.3114300,18.40798000,15.0
-34.3115100,18.40805000,15.0
-34.3115900,18.40812000,15.0
-34.3116500,18.40818000,15.0
-34.3117300,18.40825000,15.0
-34.3118200,18.40832000,15.0
-34.3119000,18.40839000,16.0
-34.3119800,18.40842000,15.0
-34.3120400,18.40849000,15.0
-34.3121200,18.40855000,15.0
-34.3122100,18.40859000,14.0
-34.3122900,18.40865000,14.0
-34.3123700,18.40869000,12.0
-34.3124600,18.40876000,11.0
-34.3125100,18.40879000,11.0
-34.3126000,18.40882000,10.0
-34.3126500,18.40889000,10.0
-34.3127300,18.40892000,9.0
-34.3127900,18.40896000,8.0
-34.3128700,18.40899000,8.0
-34.3129300,18.40903000,8.0
-34.3130100,18.40909000,7.0
-34.3131000,18.40916000,7.0
-34.3131800,18.40923000,8.0
-34.3132400,18.40929000,8.0
-34.3132900,18.40936000,8.0
-34.3133500,18.40943000,7.0
-34.3134300,18.40950000,8.0
-34.3134900,18.40960000,9.0
-34.3135400,18.40967000,9.0
-34.3136000,18.40973000,9.0
-34.3136800,18.40983000,8.0
-34.3137400,18.40990000,8.0
-34.3137900,18.40997000,7.0
-34.3138500,18.41007000,6.0
-34.3139300,18.41014000,6.0
-34.3139600,18.41020000,6.0
-34.3140100,18.41031000,6.0
-34.3140700,18.41037000,6.0
-34.3141300,18.41047000,6.0
-34.3141800,18.41054000,5.0
-34.3142400,18.41057000,5.0
-34.3142600,18.41064000,5.0
-34.3143200,18.41071000,5.0
-34.3143500,18.41078000,5.0
-34.3144000,18.41091000,6.0
-34.3144600,18.41098000,6.0
-34.3144900,18.41105000,6.0
-34.3145400,18.41115000,7.0
-34.3145700,18.41121000,7.0
-34.3146300,18.41132000,7.0
-34.3146800,18.41135000,6.0
-34.3147400,18.41145000,6.0
-34.3147700,18.41152000,6.0
-34.3147700,18.41158000,7.0
-34.3147700,18.41165000,7.0
-34.3147900,18.41172000,8.0
-34.3148200,18.41182000,8.0
-34.3148800,18.41189000,8.0
-34.3149000,18.41199000,9.0
-34.3149600,18.41206000,8.0
-34.3150200,18.41216000,7.0
-34.3150700,18.41222000,7.0
-34.3151000,18.41229000,7.0
-34.3151300,18.41239000,6.0
-34.3151800,18.41246000,6.0
-34.3152100,18.41256000,6.0
-34.3152700,18.41263000,6.0
-34.3153200,18.41270000,6.0
-34.3153800,18.41276000,6.0
-34.3154300,18.41283000,6.0
-34.3155200,18.41293000,5.0
-34.3155700,18.41303000,5.0
-34.3156600,18.41313000,5.0
-34.3156800,18.41327000,6.0
-34.3157700,18.41340000,6.0
-34.3157900,18.41350000,6.0
-34.3158200,18.41361000,7.0
-34.3158800,18.41367000,6.0
-34.3159100,18.41377000,6.0
-34.3159300,18.41384000,6.0
-34.3160200,18.41398000,5.0
-34.3160400,18.41404000,5.0
-34.3160700,18.41411000,4.0
-34.3161000,18.41418000,4.0
-34.3161300,18.41425000,3.0
-34.3161600,18.41431000,3.0
-34.3161800,18.41438000,3.0
-34.3161800,18.41445000,4.0
-34.3162100,18.41452000,4.0
-34.3162400,18.41458000,4.0
-34.3163000,18.41468000,5.0
-34.3163200,18.41475000,6.0
-34.3163800,18.41485000,6.0
-34.3163800,18.41492000,6.0
-34.3164300,18.41499000,6.0
-34.3164600,18.41505000,6.0
-34.3164900,18.41512000,6.0
-34.3165200,18.41519000,6.0
-34.3165500,18.41526000,6.0
-34.3166000,18.41536000,6.0
-34.3166600,18.41542000,6.0
-34.3166800,18.41553000,6.0
-34.3167100,18.41559000,6.0
-34.3167400,18.41559000,6.0
-34.3167700,18.41563000,6.0
-34.3168100,18.41570000,6.0
-34.3168400,18.41576000,6.0
-34.3168900,18.41581000,5.0
-34.3169400,18.41587000,5.0
-34.3169700,18.41592000,5.0
-34.3170100,18.41597000,5.0
-34.3170500,18.41602000,5.0
-34.3170900,18.41607000,5.0
-34.3171300,18.41615000,6.0
-34.3171600,18.41619000,6.0
-34.3172000,18.41623000,6.0
-34.3172400,18.41628000,7.0
-34.3172700,18.41632000,7.0
-34.3173000,18.41638000,8.0
-34.3173300,18.41642000,8.0
-34.3173700,18.41648000,8.0
-34.3174000,18.41654000,8.0
-34.3174400,18.41658000,8.0
-34.3174700,18.41662000,8.0
-34.3175300,18.41667000,8.0
-34.3175800,18.41672000,8.0
-34.3176200,18.41677000,8.0
-34.3176500,18.41681000,8.0
-34.3176900,18.41685000,8.0
-34.3177400,18.41688000,8.0
-34.3177800,18.41693000,7.0
-34.3178300,18.41695000,7.0
-34.3178800,18.41693000,6.0
-34.3179300,18.41688000,6.0
-34.3179600,18.41684000,5.0
-34.3180100,18.41681000,5.0
-34.3180600,18.41677000,5.0
-34.3181200,18.41672000,5.0
-34.3181500,18.41668000,5.0
-34.3182000,18.41664000,5.0
-34.3182500,18.41661000,5.0
-34.3183000,18.41658000,5.0
-34.3183500,18.41655000,4.0
-34.3183900,18.41652000,4.0
-34.3184400,18.41652000,4.0
-34.3184900,18.41651000,4.0
-34.3185400,18.41649000,4.0
-34.3185800,18.41648000,4.0
-34.3186300,18.41645000,4.0
-34.3186800,18.41642000,4.0
-34.3187300,18.41639000,4.0
-34.3187500,18.41636000,4.0
-34.3188000,18.41633000,4.0
-34.3188300,18.41629000,4.0
-34.3188700,18.41625000,4.0
-34.3189200,18.41620000,4.0
-34.3189700,18.41616000,4.0
-34.3190400,18.41612000,4.0
-34.3190800,18.41609000,4.0
-34.3191400,18.41606000,4.0
-34.3191900,18.41603000,3.0
-34.3192500,18.41600000,2.0
-34.3193000,18.41599000,2.0
-34.3193500,18.41599000,1.0
-34.3193900,18.41599000,1.0
-34.3194500,18.41599000,1.0
-34.3195000,18.41602000,1.0
-34.3195600,18.41604000,1.0
-34.3196100,18.41606000,1.0
-34.3196600,18.41609000,1.0
-34.3197000,18.41610000,1.0
-34.3197500,18.41612000,1.0
-34.3198000,18.41612000,1.0
-34.3198200,18.41613000,1.0
-34.3198000,18.41616000,2.0
-34.3198500,18.41616000,2.0
-34.3199200,18.41619000,2.0
-34.3199800,18.41622000,3.0
-34.3200300,18.41625000,3.0
-34.3201000,18.41628000,3.0
-34.3201600,18.41630000,2.0
-34.3202200,18.41633000,1.0
-34.3202700,18.41636000,1.0
-34.3203100,18.41638000,1.0
-34.3203700,18.41639000,1.0
-34.3204200,18.41641000,1.0
-34.3204700,18.41642000,1.0
-34.3205200,18.41645000,1.0
-34.3205600,18.41648000,1.0
-34.3206200,18.41651000,1.0
-34.3206700,18.41654000,1.0
-34.3207200,18.41656000,1.0
-34.3207700,18.41658000,1.0
-34.3208100,18.41659000,1.0
-34.3208600,18.41661000,1.0
-34.3209100,18.41662000,1.0
-34.3209600,18.41664000,1.0
-34.3210000,18.41665000,1.0
-34.3210500,18.41667000,1.0
-34.3210200,18.41671000,1.0
-34.3209800,18.41677000,1.0
-34.3209600,18.41682000,1.0
-34.3209600,18.41690000,1.0
-34.3209600,18.41695000,1.0
-34.3209800,18.41701000,2.0
-34.3210200,18.41707000,3.0
-34.3210500,18.41713000,3.0
-34.3210900,18.41719000,4.0
-34.3211100,18.41724000,5.0
-34.3211400,18.41730000,4.0
-34.3211700,18.41736000,4.0
-34.3212100,18.41740000,4.0
-34.3212400,18.41745000,3.0
-34.3212800,18.41749000,2.0
-34.3213100,18.41755000,3.0
-34.3213600,18.41762000,4.0
-34.3214000,18.41766000,4.0
-34.3214300,18.41773000,5.0
-34.3214700,18.41778000,6.0
-34.3214900,18.41784000,5.0
-34.3215300,18.41788000,5.0
-34.3215600,18.41792000,5.0
-34.3216000,18.41798000,5.0
-34.3216200,18.41804000,6.0
-34.3216600,18.41809000,6.0
-34.3216700,18.41818000,5.0
-34.3217000,18.41824000,5.0
-34.3217200,18.41830000,5.0
-34.3217400,18.41835000,5.0
-34.3217700,18.41844000,5.0
-34.3217900,18.41850000,4.0
-34.3218200,18.41857000,4.0
-34.3218400,18.41864000,4.0
-34.3218700,18.41872000,3.0
-34.3218900,18.41877000,3.0
-34.3219200,18.41883000,3.0
-34.3219500,18.41890000,2.0
-34.3219700,18.41896000,2.0
-34.3219900,18.41902000,2.0
-34.3220200,18.41908000,2.0
-34.3220400,18.41915000,2.0
-34.3220700,18.41921000,2.0
-34.3220900,18.41926000,3.0
-34.3221100,18.41932000,3.0
-34.3221100,18.41934000,3.0
-34.3220800,18.41942000,4.0
-34.3220800,18.41950000,5.0
-34.3220900,18.41955000,5.0
-34.3221000,18.41961000,5.0
-34.3221000,18.41967000,6.0
-34.3221100,18.41973000,6.0
