"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-17",,"56","59","51"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-19",,"61","67","55"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-20",,"62","73","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-21",,"54","73","52"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-22",,"57","63","51"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-23","0.20","57","64","47"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-24","0.00","57","64","52"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-25","0.43","55","59","51"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-26","0.00","57","66","48"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-27","0.08","59","68","53"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-28","0.59","53","68","51"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-29","0.00","53","59","46"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-30","0.04","56","62","53"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-31","0.04","55","62","49"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-01","0.01","51","64","46"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-02","0.00","59","69","53"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-03","0.03","57","69","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-04","0.00","59","66","53"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-05","0.00","64","68","59"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-06","0.00","66","70","63"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-07","0.12","65","70","63"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-08","0.16","70","78","63"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-09","0.00","69","78","61"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-10","0.20","51","75","49"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-11","0.00","53","56","50"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-12",,"57","63","52"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-13",,"57","63","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-02-14",,"59","64","56"
